Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Sunshine","OneRepublic","Sunshine","My playlist :)","Playlist","USUM72100506","5r43qanLhUCdBj8HN3fa6B"
"Don't Let Me Down","The Chainsmokers","Don't Let Me Down","My playlist :)","Playlist","USQX91600011","1i1fxkWeaMmKEB4T7zqbzK"
"Symphony (feat. Zara Larsson)","Clean Bandit","What Is Love? (Deluxe Edition)","My playlist :)","Playlist","GBAHS1700199","72gv4zhNvRVdQA0eOenCal"
"Treat You Better","Shawn Mendes","Illuminate","My playlist :)","Playlist","USUM71604711","3QGsuHI8jO1Rx4JWLUh9jd"
"Señorita","Shawn Mendes","Shawn Mendes (Deluxe)","My playlist :)","Playlist","USUM71911283","6v3KW9xbzN5yKLt9YKDYA2"
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","Toast to Our Differences (Deluxe Edition)","My playlist :)","Playlist","GBAHS1701239","7mkT9kS25nUIoNkm02Ww0n"
"High Hopes","Panic! At The Disco","Pray for the Wicked","My playlist :)","Playlist","USAT21801174","1rqqCSm0Qe4I9rUvWncaom"
"It's Tricky","Run–D.M.C.","Raising Hell (Expanded Edition)","My playlist :)","Playlist","USAR18600005","5IGUkmuTVroDG2PnaUiNFj"
"24K Magic","Bruno Mars","24K Magic","My playlist :)","Playlist","USAT21602944","6b8Be6ljOzmkOmFslEb23P"
"Fireflies","Owl City","Ocean Eyes","My playlist :)","Playlist","USUM70972068","3DamFFqW32WihKkTVlwTYQ"
"How to Save a Life","The Fray","How To Save A Life","My playlist :)","Playlist","USSM10601178","5fVZC9GiM4e8vu99W0Xf6J"
"Secrets","OneRepublic","Waking Up","My playlist :)","Playlist","USUM70985644","1NhPKVLsHhFUHIOZ32QnS2"
"Runaway Baby","Bruno Mars","Doo-Wops & Hooligans","My playlist :)","Playlist","USAT21001885","5MMLS3xm12D7N26xlfFApr"
"I Love It (feat. Charli XCX)","Icona Pop","THIS IS... ICONA POP","My playlist :)","Playlist","SEWEE1200301","6HZ9VeI5IRFCNQLXhpF4bq"
"Another One Bites The Dust - Remastered 2011","Queen","The Game (Deluxe Remastered Version)","My playlist :)","Playlist","GBUM71029605","57JVGBtBLCfHw2muk5416J"
"Stay","Zedd","Stay","My playlist :)","Playlist","USUM71700736","6uBhi9gBXWjanegOb2Phh0"
"Call Me Maybe","Carly Rae Jepsen","Kiss (Deluxe)","My playlist :)","Playlist","CAB391100615","3TGRqZ0a2l1LRblBkJoaDx"
"Thunderstruck","AC/DC","The Razors Edge","My playlist :)","Playlist","AUAP09000014","57bgtoPSgt236HzfBOd8kj"
"The Sweet Escape","Gwen Stefani","The Sweet Escape","My playlist :)","Playlist","USUM70618684","66ZcOcouenzZEnzTJvoFmH"
"Good Feeling","Flo Rida","Wild Ones","My playlist :)","Playlist","USAT21101961","2LEF1A8DOZ9wRYikWgVlZ8"
"Without You (feat. Sandro Cavazza)","Avicii","AVĪCI (01)","My playlist :)","Playlist","SE5R71700101","6Pgkp4qUoTmJIPn7ReaGxL"
"Alone","Marshmello","Alone","My playlist :)","Playlist","CA6D21600147","3MEYFivt6bilQ9q9mFWZ4g"
"Fishin' in the Dark","Nitty Gritty Dirt Band","Fishin' in the Dark: The Best of Nitty Gritty Dirt Band","My playlist :)","Playlist","TCAHW2424004","72Pw1ubixJtfyMMvqjdiyQ"
